Company ID (Partner),Company ID (Vendor)
12478888,13296073
12479477,12564821
14009291,12564821
118316623,12564821
12517913,12564821
12412008,12564821
91975290,12564821
92180539,12564821
118086043,12564821
118317714,12564821
18470139,12564821
118340970,12564821
12623747,12564821
13639907,12564821
13388011,12564821
12589495,12564821
12640016,12564821
12555535,12564821
107365707,12564821
111552590,12564821
12410287,12564821
12460335,12564821
12672941,12564821
37125622,12564821
12436896,12564821
12426871,12564821
12808316,12564821
12802755,12564821
12480368,12564821
13480205,12564821
12519657,12564821
12415241,12564821
12706245,12564821
12577147,12564821
12707876,12564821
12823620,12564821
12472600,12564821
12827699,12564821
12714429,12564821
107272563,12564821
12667253,12564821
12696111,12564821
118085654,12564821
12443479,12564821
12784014,12564821
12684905,12564821
12709057,12564821
12791060,12564821
92242365,12564821
12786703,12564821
12503158,12435203
15190114,12435203
26065047,12435203
12666845,12435203
12416890,12435203
12533037,12435203
12514820,12435203
37184311,12435203
12649161,12435203
12446226,12435203
12788843,12435203
12707240,12435203
12458985,12435203
13069249,12435203
108752800,12435203
18458775,12435203
26062231,12435203
12710623,12435203
13992003,12435203
12536289,12435203
12707753,12435203
93360362,12435203
12647914,12435203
92203801,12435203
12518185,12435203
12472272,12435203
13042159,12435203
92172830,12435203
12445576,12435203
14008831,12435203
12476976,12435203
12457308,12435203
12790085,12435203
12707876,12435203
15195026,12435203
14019154,12435203
12509372,12435203
12586415,12435203
12678031,12435203
12615805,12435203
12643956,12435203
13060906,12435203
12594039,12435203
12409327,12435203
12702684,12435203
12400768,12435203
92291857,12435203
12403731,12435203
12815895,12435203
12528199,12435203
12475609,12435203
12706245,12435203
13042902,12435203
12636025,12435203
12605211,12435203
12408450,12435203
12826827,12435203
12563873,12435203
26009208,12435203
12529868,12435203
13475227,12435203
12587554,12435203
12575653,12435203
111754416,12435203
118347481,12435203
12655537,12435203
12398879,12435203
26030660,12435203
14019802,12435203
12616107,12435203
12639285,12435203
12482839,12435203
12482565,12435203
12799489,12435203
12485533,12435203
13645807,12435203
12449661,12435203
12842738,12435203
12638434,12435203
12818798,12435203
12837881,12435203
12801837,12435203
13101630,12435203
13614352,12435203
26046479,12435203
92283797,12435203
12454622,12435203
12704262,12435203
13614264,12435203
12803748,12435203
12478853,12435203
12567810,12435203
12471892,12435203
111753055,12435203
12686932,12435203
12505748,12435203
12675710,12435203
12481740,12435203
13387947,12435203
12828316,12435203
12595130,12435203
12436500,12435203
13116084,12435203
12636863,12435203
12567368,12435203
12703844,12435203
91999126,12435203
12403738,12435203
13612484,12435203
112291912,12435203
26065548,12435203
12429382,12435203
37191656,12435203
92216702,12435203
14006073,12435203
12476223,12435203
13577017,12435203
12689237,12435203
37184208,12435203
37182552,12435203
12704806,12435203
12673882,12435203
12452959,12435203
37196648,12435203
13605061,12435203
13079423,12435203
12546285,12435203
14018570,12435203
12637553,12435203
12428181,12435203
13597338,12435203
12700078,12435203
13602665,12435203
12593695,12435203
12426871,12435203
12601119,12435203
12469736,12435203
12428278,12435203
12481061,12435203
12675263,12435203
12483463,12435203
12808087,12435203
12454597,12435203
93305232,12435203
12828084,12435203
12477725,12435203
12792031,12435203
12655433,12435203
12643569,12435203
12407754,12435203
13642755,12435203
12606328,12435203
12528196,12435203
12787247,12435203
12624569,12435203
14019980,12435203
118081298,12435203
12658558,12435203
37126951,12435203
107175360,12435203
92274794,12435203
12408041,12435203
12607777,12435203
37126509,12435203
12551022,12435203
12622822,12435203
13366593,12435203
12421097,12435203
12652802,12435203
37192305,12435203
12629223,12435203
12542350,12435203
12434088,12435203
12403821,12435203
13592848,12435203
12484760,12435203
37202658,12435203
12657135,12435203
13577511,12435203
26062275,12435203
12686255,12435203
12622190,12435203
12715660,12435203
13477006,12435203
12703069,12435203
12610435,12435203
12820375,12435203
15197529,12435203
12807885,12435203
12537223,12435203
92011816,12435203
12847996,12435203
12647248,12435203
13099315,12435203
12687784,12435203
12453077,12435203
12581632,12435203
12838650,12435203
12606880,12435203
13041230,12435203
12794384,12435203
12686059,12435203
12502048,12435203
12504131,12435203
26060442,12435203
13053809,12435203
26052825,12435203
12823620,12435203
92274408,12435203
37197862,12435203
12802606,12435203
12409462,12435203
12789744,12435203
12634969,12435203
12472600,12435203
12491426,12435203
25990531,12435203
12646692,12435203
13633071,12435203
18471024,12435203
12624578,12435203
12474830,12435203
12553287,12435203
92214351,12435203
12704503,12435203
18460390,12435203
