Company ID,Cloud Coverage
12584146,Other Cloud: Hybrid/Private/On-prem virtualization
12666689,Other Cloud: Hybrid/Private/On-prem virtualization
12666689,SaaS
115081797,SaaS
12704361,Other Cloud: Hybrid/Private/On-prem virtualization
12704361,SaaS
12704361,IaaS
115081802,IaaS
115081802,PaaS
115081802,Other Cloud: Hybrid/Private/On-prem virtualization
115081802,SaaS
118620698,SaaS
118620698,IaaS
118342904,SaaS
12451725,-
12452635,SaaS
12452635,IaaS
13370231,SaaS
13370231,PaaS
13370231,Other Cloud: Hybrid/Private/On-prem virtualization
111805195,SaaS
118621238,SaaS
15205026,-
12650176,PaaS
12650176,SaaS
12650176,Other Cloud: Hybrid/Private/On-prem virtualization
12650176,IaaS
118034812,SaaS
118620851,SaaS
118620851,Other Cloud: Hybrid/Private/On-prem virtualization
13370234,SaaS
118620747,SaaS
15205015,SaaS
15205015,IaaS
15205015,Other Cloud: Hybrid/Private/On-prem virtualization
12673736,SaaS
12673736,Other Cloud: Hybrid/Private/On-prem virtualization
15205051,Other Cloud: Hybrid/Private/On-prem virtualization
15205051,SaaS
118067471,SaaS
12583765,SaaS
111674572,-
15198372,Other Cloud: Hybrid/Private/On-prem virtualization
15198372,SaaS
111805533,Other Cloud: Hybrid/Private/On-prem virtualization
12714792,SaaS
13108168,SaaS
13108168,IaaS
12583055,SaaS
12583055,Other Cloud: Hybrid/Private/On-prem virtualization
118660704,-
118349639,-
107217287,SaaS
118620399,SaaS
118620399,IaaS
111559991,-
12714268,SaaS
12714268,Other Cloud: Hybrid/Private/On-prem virtualization
12715080,-
107217735,-
107217137,-
13614417,Other Cloud: Hybrid/Private/On-prem virtualization
13614417,SaaS
15204207,SaaS
107217690,-
107218283,-
106897013,SaaS
106897013,Other Cloud: Hybrid/Private/On-prem virtualization
115081921,SaaS
12452591,SaaS
12452591,Other Cloud: Hybrid/Private/On-prem virtualization
12452591,PaaS
118621362,IaaS
118621362,PaaS
118621362,SaaS
114951282,-
13370318,Other Cloud: Hybrid/Private/On-prem virtualization
13370318,SaaS
12845148,SaaS
12845148,Other Cloud: Hybrid/Private/On-prem virtualization
115082700,SaaS
12667290,-
13638865,-
115081860,SaaS
115081860,PaaS
115081860,Other Cloud: Hybrid/Private/On-prem virtualization
115081860,IaaS
12845232,SaaS
12845232,Other Cloud: Hybrid/Private/On-prem virtualization
12845232,IaaS
115082188,SaaS
115082188,PaaS
115082188,IaaS
12460261,Other Cloud: Hybrid/Private/On-prem virtualization
12460261,SaaS
12460261,PaaS
12460261,IaaS
15205126,-
115081979,SaaS
115081979,Other Cloud: Hybrid/Private/On-prem virtualization
12845177,-
13370167,SaaS
13370167,Other Cloud: Hybrid/Private/On-prem virtualization
118621190,-
13066077,SaaS
13108075,SaaS
111935384,SaaS
115082124,IaaS
115082124,SaaS
115082124,Other Cloud: Hybrid/Private/On-prem virtualization
13112752,SaaS
13112752,Other Cloud: Hybrid/Private/On-prem virtualization
12582763,-
92013742,SaaS
12583320,SaaS
12583320,Other Cloud: Hybrid/Private/On-prem virtualization
111574634,-
13293513,Other Cloud: Hybrid/Private/On-prem virtualization
13293513,SaaS
118054833,-
118620286,SaaS
118620286,PaaS
118620286,IaaS
13107814,Other Cloud: Hybrid/Private/On-prem virtualization
13107814,SaaS
15205194,SaaS
15205194,IaaS
15205194,Other Cloud: Hybrid/Private/On-prem virtualization
15205196,-
13370386,Other Cloud: Hybrid/Private/On-prem virtualization
13370386,SaaS
13370386,IaaS
13370386,PaaS
92144755,Other Cloud: Hybrid/Private/On-prem virtualization
15205177,SaaS
12583557,-
118620479,SaaS
118620479,Other Cloud: Hybrid/Private/On-prem virtualization
115082161,SaaS
118620478,-
12583846,SaaS
12583003,SaaS
12583003,Other Cloud: Hybrid/Private/On-prem virtualization
15205180,SaaS
118620446,SaaS
12453213,-
12583502,SaaS
12583502,Other Cloud: Hybrid/Private/On-prem virtualization
15205263,SaaS
15205263,IaaS
15205263,Other Cloud: Hybrid/Private/On-prem virtualization
118620966,Other Cloud: Hybrid/Private/On-prem virtualization
12403541,SaaS
12403541,Other Cloud: Hybrid/Private/On-prem virtualization
111935822,SaaS
111935822,Other Cloud: Hybrid/Private/On-prem virtualization
15205184,-
111936530,SaaS
12584201,-
118620304,SaaS
118620484,SaaS
15205265,-
118620640,-
118620578,-
12429944,Other Cloud: Hybrid/Private/On-prem virtualization
12429944,SaaS
13370384,-
12715140,IaaS
12715140,SaaS
12715140,PaaS
12715140,Other Cloud: Hybrid/Private/On-prem virtualization
12714791,SaaS
12714791,Other Cloud: Hybrid/Private/On-prem virtualization
12714791,IaaS
13369713,IaaS
13369713,SaaS
13369713,Other Cloud: Hybrid/Private/On-prem virtualization
12492385,Other Cloud: Hybrid/Private/On-prem virtualization
12492385,PaaS
12492385,SaaS
92221021,IaaS
92012410,SaaS
12715072,Other Cloud: Hybrid/Private/On-prem virtualization
12715072,SaaS
15205269,Other Cloud: Hybrid/Private/On-prem virtualization
15205269,SaaS
115082024,SaaS
115082024,Other Cloud: Hybrid/Private/On-prem virtualization
115082025,SaaS
111805369,Other Cloud: Hybrid/Private/On-prem virtualization
111805369,IaaS
111805369,SaaS
115082202,SaaS
12846570,Other Cloud: Hybrid/Private/On-prem virtualization
12846570,IaaS
12846570,SaaS
12845991,Other Cloud: Hybrid/Private/On-prem virtualization
12845991,SaaS
12583685,Other Cloud: Hybrid/Private/On-prem virtualization
12583685,SaaS
93585612,SaaS
12715037,SaaS
12715037,Other Cloud: Hybrid/Private/On-prem virtualization
13108325,-
111542848,SaaS
111542872,SaaS
118620585,SaaS
118620434,-
115082107,-
12584349,SaaS
12584349,PaaS
12584349,IaaS
12584349,Other Cloud: Hybrid/Private/On-prem virtualization
111542542,-
13108330,Other Cloud: Hybrid/Private/On-prem virtualization
111543542,-
118629184,SaaS
115081322,SaaS
12845876,PaaS
12845876,Other Cloud: Hybrid/Private/On-prem virtualization
12845876,SaaS
12845876,IaaS
12714676,SaaS
118620658,-
118620552,SaaS
13108198,Other Cloud: Hybrid/Private/On-prem virtualization
13108198,SaaS
13369777,SaaS
13369777,IaaS
115081325,-
118621596,-
118621614,-
13108468,SaaS
118621086,-
115081327,SaaS
118620701,SaaS
92275673,SaaS
92275673,Other Cloud: Hybrid/Private/On-prem virtualization
118620380,SaaS
118620380,Other Cloud: Hybrid/Private/On-prem virtualization
118620415,SaaS
12846501,SaaS
13044629,SaaS
13044629,Other Cloud: Hybrid/Private/On-prem virtualization
13044629,IaaS
115343355,SaaS
115081300,SaaS
115081300,IaaS
115081300,PaaS
118620358,-
12469458,Other Cloud: Hybrid/Private/On-prem virtualization
12469458,SaaS
13084321,IaaS
13084321,Other Cloud: Hybrid/Private/On-prem virtualization
13084321,SaaS
12582790,SaaS
12582790,IaaS
12582790,PaaS
111764531,-
118620596,SaaS
12584015,-
118620429,SaaS
118620262,-
118620537,-
118620258,SaaS
12714913,IaaS
13108706,-
12845794,-
118621036,-
92013290,-
12833779,SaaS
12845776,SaaS
12845776,Other Cloud: Hybrid/Private/On-prem virtualization
115081486,-
112094464,-
13094978,SaaS
13094978,PaaS
13094978,IaaS
12453117,PaaS
12453117,SaaS
12453117,IaaS
12453117,Other Cloud: Hybrid/Private/On-prem virtualization
111542917,-
111936519,IaaS
111936519,PaaS
111936519,Other Cloud: Hybrid/Private/On-prem virtualization
111936519,SaaS
12846082,SaaS
12846082,IaaS
12846082,Other Cloud: Hybrid/Private/On-prem virtualization
118621289,-
115081362,SaaS
115081362,Other Cloud: Hybrid/Private/On-prem virtualization
12405281,Other Cloud: Hybrid/Private/On-prem virtualization
12405281,SaaS
12794959,Other Cloud: Hybrid/Private/On-prem virtualization
12794959,SaaS
115343244,-
12846374,IaaS
12846374,PaaS
12846374,SaaS
12846374,Other Cloud: Hybrid/Private/On-prem virtualization
115081455,SaaS
12583432,Other Cloud: Hybrid/Private/On-prem virtualization
12583432,SaaS
12714735,-
12715499,-
12714959,-
118620957,SaaS
118620248,-
12452339,-
12551077,Other Cloud: Hybrid/Private/On-prem virtualization
12551077,SaaS
118619980,-
118620173,-
115081406,-
12453126,SaaS
12453126,Other Cloud: Hybrid/Private/On-prem virtualization
111542702,-
12583216,IaaS
12583216,Other Cloud: Hybrid/Private/On-prem virtualization
12583216,SaaS
115081409,-
118620364,SaaS
115344058,-
13370162,-
92143867,PaaS
92143867,IaaS
92143867,SaaS
118316496,-
108765450,-
12453210,PaaS
12453210,SaaS
12453210,Other Cloud: Hybrid/Private/On-prem virtualization
12453210,IaaS
115081523,SaaS
12792443,SaaS
12792443,Other Cloud: Hybrid/Private/On-prem virtualization
12715436,SaaS
12715436,IaaS
92012711,PaaS
92012711,Other Cloud: Hybrid/Private/On-prem virtualization
92012711,SaaS
92012711,IaaS
118024471,-
111543553,-
107347975,-
107348503,-
107348405,-
115081700,-
107348288,-
107348433,-
107348207,SaaS
107348329,-
12583066,SaaS
12535148,IaaS
12535148,SaaS
12535148,Other Cloud: Hybrid/Private/On-prem virtualization
12535148,PaaS
107350367,-
107349422,IaaS
107349422,SaaS
107349422,Other Cloud: Hybrid/Private/On-prem virtualization
107349275,PaaS
107349275,SaaS
107349275,IaaS
12846578,Other Cloud: Hybrid/Private/On-prem virtualization
12846578,SaaS
118652265,-
118620904,-
12714065,Other Cloud: Hybrid/Private/On-prem virtualization
12714065,SaaS
13369487,Other Cloud: Hybrid/Private/On-prem virtualization
118021734,-
12844942,Other Cloud: Hybrid/Private/On-prem virtualization
111935588,PaaS
111935588,SaaS
111935588,IaaS
13084467,SaaS
118620811,SaaS
15205419,Other Cloud: Hybrid/Private/On-prem virtualization
12452882,Other Cloud: Hybrid/Private/On-prem virtualization
12452882,PaaS
12452882,SaaS
12452882,IaaS
12453085,Other Cloud: Hybrid/Private/On-prem virtualization
12414034,-
13108615,-
115250500,-
111608881,-
92145039,-
15205392,Other Cloud: Hybrid/Private/On-prem virtualization
15205480,SaaS
15205480,IaaS
15205480,Other Cloud: Hybrid/Private/On-prem virtualization
118620009,-
118620758,IaaS
118620758,SaaS
118620791,IaaS
118620791,SaaS
12804399,-
118620168,-
12583752,Other Cloud: Hybrid/Private/On-prem virtualization
115081587,-
12453133,SaaS
111674440,-
118621501,SaaS
15205463,SaaS
12452150,SaaS
12845558,SaaS
12845558,PaaS
12845558,IaaS
12845558,Other Cloud: Hybrid/Private/On-prem virtualization
12452982,Other Cloud: Hybrid/Private/On-prem virtualization
12452982,IaaS
12452982,SaaS
12846496,-
118620014,-
118621493,SaaS
118053885,-
12452638,Other Cloud: Hybrid/Private/On-prem virtualization
15205462,SaaS
115081638,SaaS
12715143,-
111635684,SaaS
12811513,Other Cloud: Hybrid/Private/On-prem virtualization
12811513,SaaS
15205444,SaaS
15205444,Other Cloud: Hybrid/Private/On-prem virtualization
118621050,-
118621468,SaaS
92012791,IaaS
12715477,Other Cloud: Hybrid/Private/On-prem virtualization
12715477,SaaS
12676628,Other Cloud: Hybrid/Private/On-prem virtualization
12676628,SaaS
118620384,SaaS
118315628,-
118621397,SaaS
115344608,SaaS
