company_id,scope
8918e718-42be-4b54-8d54-374c2a313b82,AR/VR
8918e718-42be-4b54-8d54-374c2a313b82,3D Printing
8918e718-42be-4b54-8d54-374c2a313b82,Security
8918e718-42be-4b54-8d54-374c2a313b82,Big Data and Analytics
8918e718-42be-4b54-8d54-374c2a313b82,Mobility
8918e718-42be-4b54-8d54-374c2a313b82,Social
8918e718-42be-4b54-8d54-374c2a313b82,Blockchain
8918e718-42be-4b54-8d54-374c2a313b82,Cloud
8918e718-42be-4b54-8d54-374c2a313b82,AI
b414da6a-6756-4372-8cbb-81342e618d78,Social
b414da6a-6756-4372-8cbb-81342e618d78,Mobility
b414da6a-6756-4372-8cbb-81342e618d78,Cloud
1fb98e2e-2a90-4e16-a0fc-ac69f90a376f,Robotics
1fb98e2e-2a90-4e16-a0fc-ac69f90a376f,Mobility
27b55936-82a6-49a1-b119-0368b3d00115,Security
27b55936-82a6-49a1-b119-0368b3d00115,AI
27b55936-82a6-49a1-b119-0368b3d00115,Robotics
27b55936-82a6-49a1-b119-0368b3d00115,Big Data and Analytics
27b55936-82a6-49a1-b119-0368b3d00115,IoT
bd29c2b1-06c5-460d-b24f-eb938a2e60fa,Security
bd29c2b1-06c5-460d-b24f-eb938a2e60fa,Big Data and Analytics
2ae25501-eb9b-457e-bc98-731eeaaeefa6,Mobility
2ae25501-eb9b-457e-bc98-731eeaaeefa6,Security
2ae25501-eb9b-457e-bc98-731eeaaeefa6,IoT
2ae25501-eb9b-457e-bc98-731eeaaeefa6,Social
4cc02baa-e6cd-4e5b-8192-6eed1d8c374d,Social
4cc02baa-e6cd-4e5b-8192-6eed1d8c374d,Cloud
4cc02baa-e6cd-4e5b-8192-6eed1d8c374d,Mobility
4cc02baa-e6cd-4e5b-8192-6eed1d8c374d,Big Data and Analytics
4cc02baa-e6cd-4e5b-8192-6eed1d8c374d,IoT
ab14d80f-23c3-482a-9c89-9fd37feaf826,Security
ab14d80f-23c3-482a-9c89-9fd37feaf826,IoT
ab14d80f-23c3-482a-9c89-9fd37feaf826,Cloud
21e61094-1ae9-4e6e-bdcf-5d49895abb75,Cloud
21e61094-1ae9-4e6e-bdcf-5d49895abb75,AI
21e61094-1ae9-4e6e-bdcf-5d49895abb75,IoT
21e61094-1ae9-4e6e-bdcf-5d49895abb75,Big Data and Analytics
21e61094-1ae9-4e6e-bdcf-5d49895abb75,Robotics
21e61094-1ae9-4e6e-bdcf-5d49895abb75,Security
21e61094-1ae9-4e6e-bdcf-5d49895abb75,Mobility
21e61094-1ae9-4e6e-bdcf-5d49895abb75,Social
1c47359c-3f1b-49e5-8a1a-2cb87875678f,3D Printing
1c47359c-3f1b-49e5-8a1a-2cb87875678f,AI
1c47359c-3f1b-49e5-8a1a-2cb87875678f,Cloud
1c47359c-3f1b-49e5-8a1a-2cb87875678f,Mobility
1c47359c-3f1b-49e5-8a1a-2cb87875678f,Social
1c47359c-3f1b-49e5-8a1a-2cb87875678f,Security
1c47359c-3f1b-49e5-8a1a-2cb87875678f,IoT
2afbfe2c-331a-4881-bc2b-b5c9d325dbe7,Mobility
2afbfe2c-331a-4881-bc2b-b5c9d325dbe7,Social
940ad9bd-e1f3-4fd6-b219-c97e535601e5,AI
940ad9bd-e1f3-4fd6-b219-c97e535601e5,Mobility
940ad9bd-e1f3-4fd6-b219-c97e535601e5,Social
940ad9bd-e1f3-4fd6-b219-c97e535601e5,Security
e4de44c8-dcac-4604-886a-780595a559e0,Social
e4de44c8-dcac-4604-886a-780595a559e0,Big Data and Analytics
05787efb-5558-4560-8c37-a37d2612488b,Cloud
05787efb-5558-4560-8c37-a37d2612488b,Social
05787efb-5558-4560-8c37-a37d2612488b,Mobility
05787efb-5558-4560-8c37-a37d2612488b,Security
05787efb-5558-4560-8c37-a37d2612488b,IoT
05787efb-5558-4560-8c37-a37d2612488b,AI
05787efb-5558-4560-8c37-a37d2612488b,Big Data and Analytics
f3083c28-f852-4367-b794-aa2202f28a1d,Mobility
f3083c28-f852-4367-b794-aa2202f28a1d,IoT
f3083c28-f852-4367-b794-aa2202f28a1d,Cloud
f3083c28-f852-4367-b794-aa2202f28a1d,Social
f95c7daa-ea58-423e-a968-80262fc86a5e,Cloud
f95c7daa-ea58-423e-a968-80262fc86a5e,AI
f95c7daa-ea58-423e-a968-80262fc86a5e,Security
f95c7daa-ea58-423e-a968-80262fc86a5e,Mobility
f95c7daa-ea58-423e-a968-80262fc86a5e,Big Data and Analytics
f95c7daa-ea58-423e-a968-80262fc86a5e,Social
eee6e621-ad35-47a1-9591-3e846a8d88dd,Security
eee6e621-ad35-47a1-9591-3e846a8d88dd,Cloud
eee6e621-ad35-47a1-9591-3e846a8d88dd,Mobility
eee6e621-ad35-47a1-9591-3e846a8d88dd,Big Data and Analytics
eee6e621-ad35-47a1-9591-3e846a8d88dd,Social
eee6e621-ad35-47a1-9591-3e846a8d88dd,AI
19cfdc3e-7eb6-414b-a584-88a9ae697fad,AI
19cfdc3e-7eb6-414b-a584-88a9ae697fad,Mobility
19cfdc3e-7eb6-414b-a584-88a9ae697fad,Cloud
bc0cabe4-3e98-4b4c-a032-43c41ec015fb,Big Data and Analytics
bc0cabe4-3e98-4b4c-a032-43c41ec015fb,IoT
bc0cabe4-3e98-4b4c-a032-43c41ec015fb,Cloud
bc0cabe4-3e98-4b4c-a032-43c41ec015fb,Security
bc0cabe4-3e98-4b4c-a032-43c41ec015fb,AI
bc0cabe4-3e98-4b4c-a032-43c41ec015fb,Mobility
fc37a753-b77c-45f1-affd-1335439712be,AI
fc37a753-b77c-45f1-affd-1335439712be,Robotics
fc37a753-b77c-45f1-affd-1335439712be,Social
fc37a753-b77c-45f1-affd-1335439712be,3D Printing
fc37a753-b77c-45f1-affd-1335439712be,Big Data and Analytics
9fc5dbc1-1c16-476b-9399-b174a9b8ead2,Big Data and Analytics
9fc5dbc1-1c16-476b-9399-b174a9b8ead2,AR/VR
9fc5dbc1-1c16-476b-9399-b174a9b8ead2,3D Printing
9fc5dbc1-1c16-476b-9399-b174a9b8ead2,AI
9fc5dbc1-1c16-476b-9399-b174a9b8ead2,Robotics
9fc5dbc1-1c16-476b-9399-b174a9b8ead2,Social
9fc5dbc1-1c16-476b-9399-b174a9b8ead2,IoT
9fc5dbc1-1c16-476b-9399-b174a9b8ead2,Security
093380fd-c6f7-45b9-b86c-fd20c86b08e1,IoT
093380fd-c6f7-45b9-b86c-fd20c86b08e1,Social
093380fd-c6f7-45b9-b86c-fd20c86b08e1,Mobility
093380fd-c6f7-45b9-b86c-fd20c86b08e1,Big Data and Analytics
093380fd-c6f7-45b9-b86c-fd20c86b08e1,Robotics
b8bd0d27-0563-480f-9a75-7635209ff627,Big Data and Analytics
b8bd0d27-0563-480f-9a75-7635209ff627,IoT
b8bd0d27-0563-480f-9a75-7635209ff627,Cloud
b8bd0d27-0563-480f-9a75-7635209ff627,AI
b8bd0d27-0563-480f-9a75-7635209ff627,Social
b8bd0d27-0563-480f-9a75-7635209ff627,Robotics
2bdee4f4-c157-4aa8-a958-0c098fb83914,Big Data and Analytics
2bdee4f4-c157-4aa8-a958-0c098fb83914,Robotics
2bdee4f4-c157-4aa8-a958-0c098fb83914,Social
2bdee4f4-c157-4aa8-a958-0c098fb83914,Security
2bdee4f4-c157-4aa8-a958-0c098fb83914,IoT
2bdee4f4-c157-4aa8-a958-0c098fb83914,Mobility
2bdee4f4-c157-4aa8-a958-0c098fb83914,AI
2bdee4f4-c157-4aa8-a958-0c098fb83914,Cloud
7fe979db-c7c7-4491-ac3a-f8881eb8f6dd,Cloud
7fe979db-c7c7-4491-ac3a-f8881eb8f6dd,IoT
7fe979db-c7c7-4491-ac3a-f8881eb8f6dd,AI
7fe979db-c7c7-4491-ac3a-f8881eb8f6dd,Security
7fe979db-c7c7-4491-ac3a-f8881eb8f6dd,Big Data and Analytics
c5054464-3e63-4a91-a958-5237de93dbd1,Security
c5054464-3e63-4a91-a958-5237de93dbd1,Cloud
71166c65-4395-4b88-b42e-4501c6d4b79d,Mobility
71166c65-4395-4b88-b42e-4501c6d4b79d,IoT
71166c65-4395-4b88-b42e-4501c6d4b79d,Cloud
71166c65-4395-4b88-b42e-4501c6d4b79d,Social
71166c65-4395-4b88-b42e-4501c6d4b79d,Big Data and Analytics
71166c65-4395-4b88-b42e-4501c6d4b79d,AI
71166c65-4395-4b88-b42e-4501c6d4b79d,Security
9af683ab-c344-4303-87eb-ecc1620db3b9,AI
9af683ab-c344-4303-87eb-ecc1620db3b9,Security
9af683ab-c344-4303-87eb-ecc1620db3b9,3D Printing
9af683ab-c344-4303-87eb-ecc1620db3b9,IoT
