company_id,coverage
a1f2e717-15cf-4781-9cc5-c19ca4ba4cf7,SaaS
2026824a-50fa-4fac-86ec-2a2347cbb48a,
1a33e958-d172-46ab-8fa1-257e676eb68e,
dff932db-7a83-4abb-a63e-1d3a5dfc313b,
8f330ffe-de75-4ef7-8bf3-7d33af176231,SaaS
13554e0e-f1ac-47c7-bcb2-61a26eb031f5,SaaS
1f83748b-5137-451a-aa17-bf2d55f05d00,SaaS
3035e3c3-a997-4413-941c-efffacf114a3,SaaS
63bed0c8-343a-42ba-bb60-c218c6ee8207,SaaS
f7bb15e8-79e1-4ace-9d0b-6de3e599395e,SaaS
4f18d368-4916-4955-8012-b4cfe1012684,SaaS
32f42f92-3609-400a-a435-1843a9af3df0,PaaS
32f42f92-3609-400a-a435-1843a9af3df0,Other Cloud: Hybrid/Private/On-prem virtualization
32f42f92-3609-400a-a435-1843a9af3df0,IaaS
32f42f92-3609-400a-a435-1843a9af3df0,SaaS
63584948-3fc0-4f34-ad0d-cf56ad043a48,SaaS
3612e46d-1573-4605-8bde-39f7e048d638,
64a51afd-4f28-46d6-aded-0e1ff9b8ecc0,
52adc6dc-b232-4b27-b01c-53c61763a40b,
e9731b48-de7f-42f4-91e2-f3fe834f7c3b,
50ccd430-169c-48ea-83ed-6c3490f3c490,SaaS
50ccd430-169c-48ea-83ed-6c3490f3c490,IaaS
50ccd430-169c-48ea-83ed-6c3490f3c490,Other Cloud: Hybrid/Private/On-prem virtualization
1491443f-34f8-4191-a7d7-f8db4c3932cf,
56d6a748-5d98-430e-a5a1-cd1bccf6dbc9,SaaS
56d6a748-5d98-430e-a5a1-cd1bccf6dbc9,Other Cloud: Hybrid/Private/On-prem virtualization
1b3a2b70-adb3-42d2-8d3c-79c6f1d2b4d6,SaaS
1b3a2b70-adb3-42d2-8d3c-79c6f1d2b4d6,IaaS
1b3a2b70-adb3-42d2-8d3c-79c6f1d2b4d6,Other Cloud: Hybrid/Private/On-prem virtualization
65a0b7ca-6584-4424-9589-6ef6394179a7,Other Cloud: Hybrid/Private/On-prem virtualization
dea5ec00-5f99-49ae-9713-927af604ea2f,SaaS
dea5ec00-5f99-49ae-9713-927af604ea2f,Other Cloud: Hybrid/Private/On-prem virtualization
ab4763b9-0d5b-4b67-8693-186e4b7a9008,
77ad6b8f-046b-47c2-8cfc-a93444a80685,
396f4f05-27f6-46a4-a084-29fb1e811385,
a1d8cb33-b200-4792-9a29-0430e2d59a04,
706d84ce-0441-43ab-b150-8d2a4ae0cda6,SaaS
706d84ce-0441-43ab-b150-8d2a4ae0cda6,Other Cloud: Hybrid/Private/On-prem virtualization
338ed983-8d73-4b08-8326-e2c13660f98e,SaaS
c95e9324-0be4-417f-aac9-9bcde022b21e,Other Cloud: Hybrid/Private/On-prem virtualization
c95e9324-0be4-417f-aac9-9bcde022b21e,SaaS
93d9da59-242e-4edc-b8d6-c1c7997e2e6f,SaaS
be1993af-b4bb-4724-a10c-c8cb3fb4321c,
9fc8c5ec-b4a7-4ff5-a912-60985fe9314c,SaaS
68456f96-44b4-47ca-87d9-7eceb65e9080,Other Cloud: Hybrid/Private/On-prem virtualization
38438059-3bba-473f-abb7-cebd57e62c9d,
4ab556b9-da1c-46de-8169-5433bdd03046,
867da02a-1966-44fa-90d8-413802175247,Other Cloud: Hybrid/Private/On-prem virtualization
3291b02d-c562-4e76-8c30-e80b5fcd65ec,SaaS
3291b02d-c562-4e76-8c30-e80b5fcd65ec,IaaS
3291b02d-c562-4e76-8c30-e80b5fcd65ec,Other Cloud: Hybrid/Private/On-prem virtualization
aa975978-8100-4922-aa51-7f5dc20da905,Other Cloud: Hybrid/Private/On-prem virtualization
04842973-c66c-4065-9582-215f344d4caa,SaaS
ba506c04-8f05-46a3-8050-3d53408077e8,Other Cloud: Hybrid/Private/On-prem virtualization
ba506c04-8f05-46a3-8050-3d53408077e8,PaaS
ba506c04-8f05-46a3-8050-3d53408077e8,SaaS
bd3333d2-987f-487a-9772-11397d3572ee,
a7c7b0e9-f7be-4942-8077-730e47f8b0dd,SaaS
a7c7b0e9-f7be-4942-8077-730e47f8b0dd,Other Cloud: Hybrid/Private/On-prem virtualization
efe98746-63ea-4c69-aa96-51eb77bdc468,SaaS
2c52f539-1bc6-4b9e-8eca-77bc380c5da1,SaaS
3ef5be3c-60b0-482e-a1da-a95d6fb09d36,PaaS
3ef5be3c-60b0-482e-a1da-a95d6fb09d36,IaaS
3ef5be3c-60b0-482e-a1da-a95d6fb09d36,Other Cloud: Hybrid/Private/On-prem virtualization
3ef5be3c-60b0-482e-a1da-a95d6fb09d36,SaaS
3635738d-4e4a-480c-9af4-fb378e13f1af,IaaS
3635738d-4e4a-480c-9af4-fb378e13f1af,SaaS
f788ec6a-6153-4c40-bb58-758c3568252c,Other Cloud: Hybrid/Private/On-prem virtualization
f788ec6a-6153-4c40-bb58-758c3568252c,IaaS
f788ec6a-6153-4c40-bb58-758c3568252c,PaaS
f788ec6a-6153-4c40-bb58-758c3568252c,SaaS
6ca9debe-c76c-4862-8fbb-fbaa494a6956,SaaS
74f385eb-d2f5-4407-8ca1-b3b2bbca8d66,Other Cloud: Hybrid/Private/On-prem virtualization
99020770-e710-4283-b14a-cd5251d1094a,Other Cloud: Hybrid/Private/On-prem virtualization
99020770-e710-4283-b14a-cd5251d1094a,SaaS
47de8d5c-de2a-45ae-bf28-df0374b5cf70,
87b11f2b-4917-4e9a-b5e6-dec9be889a79,SaaS
87b11f2b-4917-4e9a-b5e6-dec9be889a79,Other Cloud: Hybrid/Private/On-prem virtualization
55128630-cc3f-42d7-b37a-49d750610a26,SaaS
55128630-cc3f-42d7-b37a-49d750610a26,Other Cloud: Hybrid/Private/On-prem virtualization
fa303ad1-957c-4dcc-a331-8589634ba303,SaaS
fa303ad1-957c-4dcc-a331-8589634ba303,IaaS
42ab7d9d-52f8-4bc6-8c4b-858de7977ba1,
67e995a1-8cb5-42c6-98b1-5a5dbce81d10,SaaS
8052eb40-f0f9-40e5-b102-2b4f3c753b3c,
20af1612-3dda-4569-ac23-6081b415f189,SaaS
20af1612-3dda-4569-ac23-6081b415f189,Other Cloud: Hybrid/Private/On-prem virtualization
67e8c2e9-8d01-4ef7-a69c-826cb132be6b,SaaS
eda8a4e3-1b27-4314-bfd4-aceb28e9e351,
9fe7aee8-6248-47d2-8e34-80f874bda8a1,SaaS
78c070e8-3ce8-421a-8126-2eddb1f1bc5b,
2c355ec4-4f6b-40dc-8a0e-144390c3521d,
dc853e8f-a0b8-4bf5-bed1-a9cf281b76c5,
5443e6df-7c92-4d6d-bdab-30c87b4b7848,
3bb30f18-b00d-4190-bdb9-ea1095cba86c,SaaS
530239b2-a494-4ae9-a1b8-15eb4bc5433f,
6c7b22af-943a-4b2f-8ecd-4458352d2baf,
c5f92d19-d241-408b-a2fc-2958b5d32051,
edae4122-46a1-49b4-b1e8-743943359e73,
a774b649-fb03-4888-9d3a-6356478e17fc,
0a1fa90c-3754-4da4-9457-0904c79462a4,
95ede799-a2a8-4776-a693-1fe9cf813bac,Other Cloud: Hybrid/Private/On-prem virtualization
1479edd2-1b5e-4f8e-92b3-241da50cf6ff,Other Cloud: Hybrid/Private/On-prem virtualization
1479edd2-1b5e-4f8e-92b3-241da50cf6ff,SaaS
ed892805-237d-43b0-8807-afea658fdd7a,SaaS
ed892805-237d-43b0-8807-afea658fdd7a,Other Cloud: Hybrid/Private/On-prem virtualization
5afb3506-c07b-4326-a5e8-5b0def53ef53,Other Cloud: Hybrid/Private/On-prem virtualization
5afb3506-c07b-4326-a5e8-5b0def53ef53,SaaS
830ba127-911a-4674-a402-01b5edc9945c,
8cb0e285-59aa-4fa0-8b1d-51386fbe0e5a,Other Cloud: Hybrid/Private/On-prem virtualization
d67d03cd-7666-4fde-a1dd-325595bf908b,
5c620805-6b26-4431-9924-8455a45369d7,SaaS
32246119-daa1-472b-a7cc-a5093a38da3f,SaaS
1a87fafe-c17d-4298-94db-510ddf0d1900,Other Cloud: Hybrid/Private/On-prem virtualization
1a87fafe-c17d-4298-94db-510ddf0d1900,SaaS
eb55a3ad-a9ca-453e-a681-a860099907df,SaaS
eb55a3ad-a9ca-453e-a681-a860099907df,PaaS
eb55a3ad-a9ca-453e-a681-a860099907df,IaaS
14c3445a-ad5d-4832-a749-92fffb23a220,SaaS
9fcbe455-89ff-4f45-b46f-9a775496c381,
f4747f88-98f1-4513-ad56-39e3150d0a7b,Other Cloud: Hybrid/Private/On-prem virtualization
f4747f88-98f1-4513-ad56-39e3150d0a7b,IaaS
f4747f88-98f1-4513-ad56-39e3150d0a7b,SaaS
f4747f88-98f1-4513-ad56-39e3150d0a7b,PaaS
65dac09a-f7b1-4713-b5ac-de573c959f24,SaaS
65dac09a-f7b1-4713-b5ac-de573c959f24,Other Cloud: Hybrid/Private/On-prem virtualization
9780c760-eb5e-4fbd-b022-ef7d725033ee,
2c2d552c-d668-4353-9dbf-cfe8401f13fb,SaaS
6652b358-a397-42bf-95fa-37519be2130b,Other Cloud: Hybrid/Private/On-prem virtualization
6652b358-a397-42bf-95fa-37519be2130b,SaaS
4390932c-ce7b-4dc8-8001-4d1e3f96e109,SaaS
36f8b998-d076-4318-a9c0-77ba4da604fc,SaaS
db46b09b-1235-4d2b-8328-158ef91d6797,
3f29b791-0056-4fd2-ac6d-aebb9295ffa6,SaaS
76afb2e0-57ee-432b-b63f-47fea2de3e9e,Other Cloud: Hybrid/Private/On-prem virtualization
c609d811-405b-4fee-bcc3-34d06666ec20,SaaS
c609d811-405b-4fee-bcc3-34d06666ec20,Other Cloud: Hybrid/Private/On-prem virtualization
2409b847-90f1-497a-9925-bc1ee7be67a5,SaaS
29954dc9-f489-4f42-9b21-8c99b765cce1,Other Cloud: Hybrid/Private/On-prem virtualization
29954dc9-f489-4f42-9b21-8c99b765cce1,SaaS
ce01c7c2-a8f3-442b-9fae-25dcb7dff2bc,IaaS
ce01c7c2-a8f3-442b-9fae-25dcb7dff2bc,SaaS
ce01c7c2-a8f3-442b-9fae-25dcb7dff2bc,PaaS
ce01c7c2-a8f3-442b-9fae-25dcb7dff2bc,Other Cloud: Hybrid/Private/On-prem virtualization
a790b401-5453-4d96-ab3f-6a3dbe2b951c,SaaS
ccebdfa0-0637-454d-a0c6-2d3a22a9d06e,SaaS
48e71de7-8430-4757-80b8-b5dc97857483,Other Cloud: Hybrid/Private/On-prem virtualization
48e71de7-8430-4757-80b8-b5dc97857483,SaaS
a481a14c-760d-4f3d-ab70-bc1e4368d830,SaaS
ae62901d-1c8e-4bf3-859c-39a9df6d92ec,SaaS
ae62901d-1c8e-4bf3-859c-39a9df6d92ec,IaaS
ae62901d-1c8e-4bf3-859c-39a9df6d92ec,Other Cloud: Hybrid/Private/On-prem virtualization
d61a92bb-e720-4ab1-ae75-b3d2be3321fe,SaaS
d61a92bb-e720-4ab1-ae75-b3d2be3321fe,Other Cloud: Hybrid/Private/On-prem virtualization
1b5d986f-e30a-4996-bbaa-490ccc4022f6,Other Cloud: Hybrid/Private/On-prem virtualization
1b5d986f-e30a-4996-bbaa-490ccc4022f6,SaaS
a312bc72-da0a-4cf1-9a3f-0b41c270e543,SaaS
53fd1aca-2fc5-4fc3-adf1-c7cb60f235aa,Other Cloud: Hybrid/Private/On-prem virtualization
53fd1aca-2fc5-4fc3-adf1-c7cb60f235aa,SaaS
53fd1aca-2fc5-4fc3-adf1-c7cb60f235aa,IaaS
eac2de91-1c93-451e-9334-7ab43878c9a1,IaaS
eac2de91-1c93-451e-9334-7ab43878c9a1,PaaS
eac2de91-1c93-451e-9334-7ab43878c9a1,Other Cloud: Hybrid/Private/On-prem virtualization
eac2de91-1c93-451e-9334-7ab43878c9a1,SaaS
815c5bb8-800e-4886-8c19-8e65e04bb723,SaaS
815c5bb8-800e-4886-8c19-8e65e04bb723,IaaS
ca4b834e-0f64-4235-8430-cfb837519f49,SaaS
72bde1c5-402c-4e92-84b7-f76588efe268,
9bd405e0-8999-4908-852e-d17abf2838a2,SaaS
9bd405e0-8999-4908-852e-d17abf2838a2,IaaS
dec002c7-311b-451c-ba12-048ef25b644d,SaaS
