id,global_region,region,country,state,city
b62888ec-99b5-470a-b387-a9cdc8b44032,Americas,Latin America,Brazil,Rio Grande do Norte,Natal
1a3264d4-a0fd-43fe-a52d-96eabfe537b7,EMEA,Western Europe,Italy,Lecce,Lecce
1ff4f2b6-4c1f-45e8-adac-4aa1c56fe061,Americas,Latin America,Brazil,Goias,Jundiai
48247137-0327-438e-af68-c7e630ed071e,Americas,Latin America,Brazil,Sao Paulo,Jundiai
2fbb7d7a-908b-40d9-8efa-c07ced8a80de,Americas,Latin America,Panama,Panama,Panama City
ece90a06-1a38-4cb0-bbe5-d7f363fdf819,Americas,Canada,Canada,Alberta,Edmonton
069fd2b9-b925-4321-857d-af4988e13c6b,EMEA,Western Europe,France,Paris,Avon
42a3d42c-928b-40a0-831b-e9e25b1d360c,EMEA,Western Europe,Spain,Andalusia,Seville
1ab682e9-65b2-46a5-9260-8dc0025883fd,APJ,APeJC,Australia,Tasmania,Hobart
bf0e689f-dc21-4cbb-adfa-e0d396b797fe,EMEA,Western Europe,Spain,Sevilla,SEVILLA
5110d131-6a90-488c-943f-adc68e5ed902,EMEA,Western Europe,Spain,Sevilla,Seville
b9202e83-0668-4f4e-b634-5bdd983a4d80,EMEA,Western Europe,Spain,Andalusia,Sevilla
5fc67eaa-227e-40f5-9abd-573868228323,Americas,Latin America,Brazil,Rio Grande do Sul,Santa Rosa
126dedab-2b3b-4070-b249-dbfc4d4b439c,Americas,Latin America,Argentina,Santa Cruz,Rio Gallegos
199f7a45-3189-422d-8cb3-03492a6f77a4,Americas,Latin America,Argentina,Buenos Aires,Mar del Plata
91642549-79e8-4fef-9ed9-12e757f2ea3b,Americas,Latin America,Argentina,Neuquen,Neuquen
eff62dd1-deec-4c38-aae2-f9d6d3a22b77,Americas,Latin America,Argentina,Buenos Aires,Bahia Blanca
a57ecab5-b10a-4bec-8ea5-c14d9110c083,Americas,Latin America,Argentina,Neuquen,Rincon de Los Sauces
c5ebb59a-e620-441c-a940-c0e30db8dbfb,Americas,USA,USA,Missouri,Lees Summit
b700d479-5482-43a6-b516-a23487dccc6b,Americas,Latin America,Brazil,Parana,Maringa
65685d2e-14de-4430-8aee-780ab2a2c116,Americas,USA,USA,Missouri,Lee's Summit
caa9cba8-f0be-468a-8829-440af78aa66d,Americas,Canada,Canada,Nova Scotia,Halifax
f1741f3c-6afd-4275-86e1-f8a094bb6ee7,Americas,Latin America,Brazil,Sao Paulo,Paulinia
39e92533-74ac-41b2-a202-2c4bbce6edac,Americas,Latin America,Brazil,Parana,Palotina
5eba6e4d-71c8-4616-ac42-ef9891e4a070,Americas,USA,USA,Pennsylvania,Wilkins Township
73caba45-51cc-4e5f-b39e-e51b12295974,Americas,USA,USA,Pennsylvania,Lancaster
c5692c69-d69e-4819-a1e8-102656e50a4d,Americas,USA,USA,Kentucky,Somerset
0d84f6ef-d8ea-496b-a193-ea569e553d6c,Americas,USA,USA,Missouri,Springfield
172025ed-4ca0-4be4-a050-8fe6c3b81a87,Americas,Latin America,Brazil,Rio de Janeiro,Niteroi
bf5b555e-c36c-45db-a04b-8bdcedc14c22,Americas,USA,USA,Pennsylvania,Bedford
87e31e1b-0278-4844-ab9c-28267a840756,Americas,Latin America,Brazil,Rio Grande do Sul,Ijui
6cd4f35a-513b-4b43-abdd-c187fd953d31,APJ,PRC,PRC,Jiangsu,Nanjing
71958e8e-b5a6-487e-aa4f-8e420c2a8e20,APJ,APeJC,Australia,Queensland,Windsor
a37c85da-f11e-48fc-a38e-2f2191bf0958,APJ,APeJC,Indonesia,East Kalimantan,Balikpapan
7fae57ff-d25a-4529-99e3-7ffd4dcaf648,Americas,Latin America,Brazil,Rio Grande do Sul,Caxias do Sul
b7ea0e7f-3736-4a76-b4da-0bad695edd89,Americas,Latin America,Brazil,Ceara,Fortaleza
e8c34214-18a4-49f5-b121-b1479c8280f3,Americas,USA,USA,Missouri,Maryland Heights
538e6442-6893-4d8b-b110-477b1b3ab8cf,EMEA,Western Europe,United Kingdom,Sheffield,Wales
bf34d89a-d04c-40d5-8277-379f3755c812,EMEA,Western Europe,Norway,Vestland,Forde
ed186e51-4540-40f3-b86a-666e44f21899,Americas,USA,USA,Colorado,Montrose
3aee2237-f771-4486-bab8-a73c51830d9c,EMEA,Western Europe,Finland,North Savo,Kuopio
c8f65ef6-1fb0-41c1-846d-10bae651ed03,EMEA,Middle East & Africa,South Africa,Gauteng,Randburg
f80f5645-6b97-4e8f-9c0d-092e226d2b4d,EMEA,Western Europe,Norway,Vestland,Dale i Sunnfjord
1d4b78d1-0b16-4c5a-b428-71e8c84c28cc,EMEA,Western Europe,Norway,Vestland,Dale
203db965-0b99-4c6e-a655-aaab889df2e7,Americas,USA,USA,Pennsylvania,Allentown
e4b37a0f-e108-47fb-b228-cebb736095b5,EMEA,Western Europe,Finland,Uusimaa,Espoo
