Company ID,Partner Classification
12824280,Independent Software Vendor (ISV)
12824280,Regional System Integrator (RSI)
12824280,Cloud Service Provider (CSP)
92286323,Cloud Service Provider (CSP)
118648054,Direct Market Reseller (DMR)
118648054,Regional System Integrator (RSI)
107289874,Cloud Service Provider (CSP)
118643004,Cloud Service Provider (CSP)
118339238,Regional System Integrator (RSI)
118339238,Independent Software Vendor (ISV)
12543734,Direct Market Reseller (DMR)
12543734,Regional System Integrator (RSI)
12543734,Cloud Service Provider (CSP)
111923693,Cloud Service Provider (CSP)
111923693,Regional System Integrator (RSI)
111923693,Value Added Reseller (VAR)
111923693,Direct Market Reseller (DMR)
111808691,Cloud Service Provider (CSP)
111808691,Direct Market Reseller (DMR)
118655892,Regional System Integrator (RSI)
12633347,Regional System Integrator (RSI)
111829544,Regional System Integrator (RSI)
111829544,Direct Market Reseller (DMR)
12635419,Cloud Service Provider (CSP)
12635419,Regional System Integrator (RSI)
107269570,-
115153431,Cloud Service Provider (CSP)
115153431,Independent Software Vendor (ISV)
12655174,Regional System Integrator (RSI)
12655174,Cloud Service Provider (CSP)
12655174,Value Added Reseller (VAR)
37195103,Cloud Service Provider (CSP)
37195103,Regional System Integrator (RSI)
12463302,Cloud Service Provider (CSP)
12463302,Managed Service Provider (MSP)
12463302,Regional System Integrator (RSI)
118082114,Cloud Service Provider (CSP)
12522653,Regional System Integrator (RSI)
12522653,Managed Service Provider (MSP)
12522653,Cloud Service Provider (CSP)
12522653,Value Added Reseller (VAR)
13120418,Independent Software Vendor (ISV)
111768876,Regional System Integrator (RSI)
111768876,Cloud Service Provider (CSP)
13101490,Cloud Service Provider (CSP)
13101490,Regional System Integrator (RSI)
92151655,Regional System Integrator (RSI)
92151655,Independent Software Vendor (ISV)
108757383,Regional System Integrator (RSI)
108757383,Cloud Service Provider (CSP)
115370811,Cloud Service Provider (CSP)
115370811,Independent Software Vendor (ISV)
115370811,Regional System Integrator (RSI)
106970443,Regional System Integrator (RSI)
12487279,Regional System Integrator (RSI)
12487279,Cloud Service Provider (CSP)
12487279,Direct Market Reseller (DMR)
118315893,Independent Software Vendor (ISV)
13296073,Independent Software Vendor (ISV)
13296073,Regional System Integrator (RSI)
13296073,Managed Service Provider (MSP)
13296073,Cloud Service Provider (CSP)
15192369,Regional System Integrator (RSI)
15192369,Independent Software Vendor (ISV)
118024682,Cloud Service Provider (CSP)
118024682,Regional System Integrator (RSI)
12685692,Regional System Integrator (RSI)
12685692,Cloud Service Provider (CSP)
111865779,Cloud Service Provider (CSP)
111865779,Regional System Integrator (RSI)
12842050,Independent Software Vendor (ISV)
12842050,Cloud Service Provider (CSP)
12842050,Regional System Integrator (RSI)
118076956,Regional System Integrator (RSI)
118076956,Cloud Service Provider (CSP)
13995229,Managed Service Provider (MSP)
13995229,Regional System Integrator (RSI)
13995229,Cloud Service Provider (CSP)
111961201,Regional System Integrator (RSI)
118653768,Cloud Service Provider (CSP)
115015329,Independent Software Vendor (ISV)
115015329,Cloud Service Provider (CSP)
13093209,Regional System Integrator (RSI)
13093209,Cloud Service Provider (CSP)
12582333,-
37135770,Independent Software Vendor (ISV)
